Accession	Source Database	Name	Tax ID	Tax Name	Length
C3JY05	unreviewed	Sigma-54 factor interaction domain-containing protein	216595	Pseudomonas fluorescens (strain SBW25)	603
C3JYQ9	unreviewed	HTH-type transcriptional regulatory protein TyrR	216595	Pseudomonas fluorescens (strain SBW25)	503
C3K0U7	unreviewed	Two-component response regulator	216595	Pseudomonas fluorescens (strain SBW25)	458
C3K0U9	unreviewed	Sigma-54 factor interaction domain-containing protein	216595	Pseudomonas fluorescens (strain SBW25)	491
C3K0W3	unreviewed	HTH-type transcriptional regulatory protein TyrR	216595	Pseudomonas fluorescens (strain SBW25)	520
C3K167	unreviewed	Putative two-component system, response regulator for C4-dicarboxylate transport	216595	Pseudomonas fluorescens (strain SBW25)	441
C3K1V0	unreviewed	Sigma-54 factor interaction domain-containing protein	216595	Pseudomonas fluorescens (strain SBW25)	514
C3K244	unreviewed	Putative response regulator in two-component regulatory system with ZraS, regulates zraP expression (EBP family)	216595	Pseudomonas fluorescens (strain SBW25)	476
C3K2P2	unreviewed	Sigma-54 factor interaction domain-containing protein	216595	Pseudomonas fluorescens (strain SBW25)	635
C3K589	unreviewed	Putative sigma-54 interactive two-component system, response regulator	216595	Pseudomonas fluorescens (strain SBW25)	458
C3K6T8	unreviewed	Alginate biosynthesis transcriptional regulatory protein AlgB	216595	Pseudomonas fluorescens (strain SBW25)	448
C3K7C4	unreviewed	DNA-binding transcriptional regulator NtrC	216595	Pseudomonas fluorescens (strain SBW25)	478
C3K8C1	unreviewed	Sigma-54 factor interaction domain-containing protein	216595	Pseudomonas fluorescens (strain SBW25)	361
C3K930	unreviewed	Sigma-54 factor interaction domain-containing protein	216595	Pseudomonas fluorescens (strain SBW25)	367
C3K983	unreviewed	Sigma-54 factor interaction domain-containing protein	216595	Pseudomonas fluorescens (strain SBW25)	660
C3K9N8	unreviewed	Sigma-54 factor interaction domain-containing protein	216595	Pseudomonas fluorescens (strain SBW25)	466
C3K9V0	unreviewed	Sigma-54 factor interaction domain-containing protein	216595	Pseudomonas fluorescens (strain SBW25)	441
C3KAM0	unreviewed	Putative two-component system, response regulator	216595	Pseudomonas fluorescens (strain SBW25)	465
C3KAM2	unreviewed	Putative two-component system, response regulator	216595	Pseudomonas fluorescens (strain SBW25)	449
C3KCA7	unreviewed	Sigma-54 factor interaction domain-containing protein	216595	Pseudomonas fluorescens (strain SBW25)	586
C3KCR7	unreviewed	Sigma-54 factor interaction domain-containing protein	216595	Pseudomonas fluorescens (strain SBW25)	305
C3KD94	unreviewed	Sigma-54 factor interaction domain-containing protein	216595	Pseudomonas fluorescens (strain SBW25)	306
